Sample	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-peak_count	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880_R2_val_2						13.388314128903687	57.0	53.958914292548684	60	9.090909090909092	5593551.0
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880			14862209	14647113	98.55						
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880.FDR50_free_macs2	81.0	58864									
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880.chrM			337212	336255	99.72						
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880.free_macs2	81.0	50953									
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880.noXYM			13439962	13362493	99.42						
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880_R1						20.48252916894775	56.0	76.0	76	18.181818181818183	7542480.0
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880_R1_val_1						14.010204572860971	55.0	53.878132999091136	60	9.090909090909092	7430141.0
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880_R2						19.596389265559367	55.0	76.0	76	18.181818181818183	7542480.0
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880_R2_val_2						13.311205159694339	55.0	53.86894447898095	60	9.090909090909092	7430141.0
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880			14241574	14050409	98.66						
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880.FDR50_free_macs2	81.0	58585									
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880.chrM			347796	346802	99.71						
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880.free_macs2	81.0	50770									
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880.noXYM			12870955	12795635	99.41						
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880_R1						20.516325460965874	56.0	76.0	76	18.181818181818183	7229322.0
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880_R1_val_1						13.928495692264505	56.0	53.73984760576211	60	9.090909090909092	7119823.0
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880_R2						19.426778736422108	55.0	76.0	76	18.181818181818183	7229322.0
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880_R2_val_2						13.164430312761155	55.0	53.732669618331805	60	9.090909090909092	7119823.0
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880			24069308	23792112	98.85						
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880.FDR50_free_macs2	81.0	66245									
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880.chrM			8004729	7982151	99.72						
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880.free_macs2	81.0	49548									
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880.noXYM			14686361	14614850	99.51						
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880_R1						40.33822883734921	49.0	76.0	76	18.181818181818183	12189109.0
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880_R1_val_1						36.295595989916706	48.0	53.913533382839624	60	9.090909090909092	12033488.0
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880_R2						39.29298680843147	49.0	76.0	76	9.090909090909092	12189109.0
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880_R2_val_2						35.412933943449104	48.0	53.89792685213132	60	9.090909090909092	12033488.0
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880			19446770	19222091	98.84						
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880.FDR50_free_macs2	81.0	56218									
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880.chrM			6460507	6442332	99.72						
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880.free_macs2	81.0	43663									
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880.noXYM			11870484	11811822	99.51						
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880_R1						39.254565317964186	49.0	76.0	76	18.181818181818183	9852832.0
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880_R1_val_1						35.181173509473595	48.0	53.83161061480141	60	9.090909090909092	9722424.0
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880_R2						38.221755885310124	49.0	76.0	76	9.090909090909092	9852832.0
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880_R2_val_2						34.46966439666694	48.0	53.81380229868601	60	9.090909090909092	9722424.0
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880			13609046	13443486	98.78						
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880.chrM			1621813	1617125	99.71						
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880.free_macs2	81.0	58772									
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880.noXYM			11077081	11008796	99.38						
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880_R1						24.84175688995724	54.0	76.0	76	18.181818181818183	6889930.0
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880_R1_val_1						19.03884116388656	53.0	54.93379588652386	60	9.090909090909092	6803686.0
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880_R2						23.92092225342391	54.0	76.0	76	18.181818181818183	6889930.0
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880_R2_val_2						18.223488476470635	53.0	54.91291984962269	60	9.090909090909092	6803686.0
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880			17029837	16820144	98.77						
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880.FDR50_free_macs2	81.0	78625									
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880.chrM			2138238	2132273	99.72						
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880.free_macs2	81.0	68055									
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880.noXYM			13765268	13681486	99.39						
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880_R1						27.56094049767458	54.0	76.0	76	18.181818181818183	8621530.0
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880_R1_val_1						21.33219419791037	54.0	54.74475808582835	60	9.090909090909092	8513970.0
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880_R2						26.38705318939347	54.0	76.0	76	18.181818181818183	8621530.0
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880_R2_val_2						20.404888545899396	53.0	54.72452134550627	60	9.090909090909092	8513970.0
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880			16896524	16694470	98.8						
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880.FDR50_free_macs2	81.0	67583									
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880.chrM			3696509	3686476	99.73						
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880.free_macs2	81.0	58883									
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880.noXYM			12220187	12144382	99.38						
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880_R1						35.84562291310898	53.0	76.0	76	27.27272727272727	8567932.0
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880_R1_val_1						29.467248432723167	53.0	54.527587221295235	60	18.181818181818183	8447335.0
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880_R2						34.55076092451968	53.0	76.0	76	27.27272727272727	8567932.0
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880_R2_val_2						28.4221964200719	52.0	54.50648849607598	60	18.181818181818183	8447335.0
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880			19467791	19149209	98.36						
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880.FDR50_free_macs2	81.0	73185									
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880.chrM			4176699	4164452	99.71						
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880.free_macs2	81.0	64077									
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880.noXYM			14079721	13988536	99.35						
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880_R1						36.64647544651659	53.0	76.0	76	27.27272727272727	9872223.0
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880_R1_val_1						29.987675734280273	53.0	54.39629637506783	60	18.181818181818183	9732789.0
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880_R2						35.38657743522785	53.0	76.0	76	27.27272727272727	9872223.0
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880_R2_val_2						28.981933407406473	53.0	54.374775205750375	60	18.181818181818183	9732789.0
Tcells-Day14_CD4_Naive_HA_rep1-GSM5171858-GSE168880			16696175	16483476	98.73						
Tcells-Day14_CD4_Naive_HA_rep1-GSM5171858-GSE168880.FDR50_free_macs2	81.0	81793									
Tcells-Day14_CD4_Naive_HA_rep1-GSM5171858-GSE168880.chrM			2504201	2496996	99.71						
Tcells-Day14_CD4_Naive_HA_rep1-GSM5171858-GSE168880.free_macs2	81.0	68309									
Tcells-Day14_CD4_Naive_HA_rep1-GSM5171858-GSE168880.noXYM			13128374	13054288	99.44						
Tcells-Day14_CD4_Naive_HA_rep1-GSM5171858-GSE168880_R1						25.840739338264882	52.0	76.0	76	18.181818181818183	8458693.0
Tcells-Day14_CD4_Naive_HA_rep1-GSM5171858-GSE168880_R1_val_1						20.415825485101976	52.0	54.39131170784567	60	9.090909090909092	8347095.0
Tcells-Day14_CD4_Naive_HA_rep1-GSM5171858-GSE168880_R2						24.866947739603944	52.0	76.0	76	18.181818181818183	8458693.0
Tcells-Day14_CD4_Naive_HA_rep1-GSM5171858-GSE168880_R2_val_2						19.7499014310944	52.0	54.376539502665295	60	9.090909090909092	8347095.0
Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880			16444091	16248218	98.81						
Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880.FDR50_free_macs2	81.0	80514									
Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880.chrM			2480601	2473587	99.72						
Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880.free_macs2	81.0	67292									
Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880.noXYM			12929664	12856699	99.44						
Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880_R1						25.66281423278336	52.0	76.0	76	18.181818181818183	8328146.0
Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880_R1_val_1						20.548091700050165	52.0	54.67606221438435	60	9.090909090909092	8221057.0
Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880_R2						24.793333567496433	52.0	76.0	76	18.181818181818183	8328146.0
Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880_R2_val_2						19.74360902700697	52.0	54.657392230707075	60	9.090909090909092	8221057.0
Tcells-Day14_CD8_CentralMemory_CD19_rep1-GSM5171860-GSE168880			20409460	20154008	98.75						
Tcells-Day14_CD8_CentralMemory_CD19_rep1-GSM5171860-GSE168880.FDR50_free_macs2	81.0	69653									
Tcells-Day14_CD8_CentralMemory_CD19_rep1-GSM5171860-GSE168880.chrM			4716012	4702457	99.71						
Tcells-Day14_CD8_CentralMemory_CD19_rep1-GSM5171860-GSE168880.free_macs2	81.0	59685									
Tcells-Day14_CD8_CentralMemory_CD19_rep1-GSM5171860-GSE168880.noXYM			14432967	14346555	99.4						
Tcells-Day14_CD8_CentralMemory_CD19_rep1-GSM5171860-GSE168880_R1						35.42636171341512	52.0	76.0	76	18.181818181818183	10342948.0
Tcells-Day14_CD8_CentralMemory_CD19_rep1-GSM5171860-GSE168880_R1_val_1						29.59007053936996	51.0	54.299586216169786	60	18.181818181818183	10203637.0
Tcells-Day14_CD8_CentralMemory_CD19_rep1-GSM5171860-GSE168880_R2						34.1414798202327	52.0	76.0	76	18.181818181818183	10342948.0
Tcells-Day14_CD8_CentralMemory_CD19_rep1-GSM5171860-GSE168880_R2_val_2						28.495815667303077	51.0	54.27914713155711	60	9.090909090909092	10203637.0
Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880			14995032	14807867	98.75						
Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880.FDR50_free_macs2	81.0	60124									
Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880.chrM			3430323	3420813	99.72						
Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880.free_macs2	81.0	51752									
Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880.noXYM			10633420	10569516	99.4						
Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880_R1						33.513515223014906	52.0	76.0	76	18.181818181818183	7600305.0
Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880_R1_val_1						27.768419071864088	52.0	54.32698646156908	60	18.181818181818183	7496659.0
Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880_R2						32.56941308083739	52.0	76.0	76	18.181818181818183	7600305.0
Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880_R2_val_2						27.074128196654584	51.0	54.312089158650544	60	18.181818181818183	7496659.0
Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880			16545393	16330150	98.7						
Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880.FDR50_free_macs2	81.0	76303									
Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880.chrM			2506690	2499953	99.73						
Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880.free_macs2	81.0	65586									
Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880.noXYM			12938383	12859902	99.39						
Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880_R1						27.79084444698549	53.0	76.0	76	18.181818181818183	8390710.0
Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880_R1_val_1						21.88962903351802	53.0	54.4583666293751	60	9.090909090909092	8271754.0
Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880_R2						26.773378700725672	53.0	76.0	76	18.181818181818183	8390710.0
Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880_R2_val_2						21.029052390790383	53.0	54.443208780145056	60	9.090909090909092	8271754.0
Tcells-Day14_CD8_CentralMemory_HA_rep2-GSM5171863-GSE168880			18680621	18428505	98.65						
Tcells-Day14_CD8_CentralMemory_HA_rep2-GSM5171863-GSE168880.FDR50_free_macs2	81.0	85751									
Tcells-Day14_CD8_CentralMemory_HA_rep2-GSM5171863-GSE168880.chrM			2771112	2763564	99.73						
Tcells-Day14_CD8_CentralMemory_HA_rep2-GSM5171863-GSE168880.free_macs2	81.0	74043									
Tcells-Day14_CD8_CentralMemory_HA_rep2-GSM5171863-GSE168880.noXYM			14637991	14549891	99.4						
Tcells-Day14_CD8_CentralMemory_HA_rep2-GSM5171863-GSE168880_R1						28.893125670425476	54.0	76.0	76	18.181818181818183	9474049.0
Tcells-Day14_CD8_CentralMemory_HA_rep2-GSM5171863-GSE168880_R1_val_1						22.105948375887323	54.0	54.05077933102424	60	9.090909090909092	9339292.0
Tcells-Day14_CD8_CentralMemory_HA_rep2-GSM5171863-GSE168880_R2						27.75097997181065	54.0	76.0	76	18.181818181818183	9474049.0
Tcells-Day14_CD8_CentralMemory_HA_rep2-GSM5171863-GSE168880_R2_val_2						21.209867940013353	53.0	54.04399584036991	60	9.090909090909092	9339292.0
Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880			14795738	14609918	98.74						
Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880.FDR50_free_macs2	81.0	66348									
Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880.chrM			2504148	2497411	99.73						
Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880.free_macs2	81.0	57831									
Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880.noXYM			11361338	11287142	99.35						
Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880_R1						31.238449446818223	54.0	76.0	76	18.181818181818183	7487326.0
Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880_R1_val_1						24.755850034192562	53.0	54.72474734365427	60	9.090909090909092	7397004.0
Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880_R2						30.178051949716775	54.0	76.0	76	18.181818181818183	7487326.0
Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880_R2_val_2						23.931319837703953	53.0	54.704120208668265	60	9.090909090909092	7397004.0
Tcells-Day14_CD8_Naive_CD19_rep2-GSM5171865-GSE168880			16189821	15984514	98.73						
Tcells-Day14_CD8_Naive_CD19_rep2-GSM5171865-GSE168880.FDR50_free_macs2	81.0	69077									
Tcells-Day14_CD8_Naive_CD19_rep2-GSM5171865-GSE168880.chrM			2734946	2727477	99.73						
Tcells-Day14_CD8_Naive_CD19_rep2-GSM5171865-GSE168880.free_macs2	81.0	60512									
Tcells-Day14_CD8_Naive_CD19_rep2-GSM5171865-GSE168880.noXYM			12441390	12358851	99.34						
Tcells-Day14_CD8_Naive_CD19_rep2-GSM5171865-GSE168880_R1						32.25718578413357	54.0	76.0	76	18.181818181818183	8203288.0
Tcells-Day14_CD8_Naive_CD19_rep2-GSM5171865-GSE168880_R1_val_1						25.565772308011887	54.0	54.60561542715408	60	9.090909090909092	8093988.0
Tcells-Day14_CD8_Naive_CD19_rep2-GSM5171865-GSE168880_R2						30.88774697928622	54.0	76.0	76	18.181818181818183	8203288.0
Tcells-Day14_CD8_Naive_CD19_rep2-GSM5171865-GSE168880_R2_val_2						24.4818052812918	54.0	54.58416827403253	60	9.090909090909092	8093988.0
Tcells-Day14_CD8_Naive_HA_rep1-GSM5171866-GSE168880			13620954	13440853	98.68						
Tcells-Day14_CD8_Naive_HA_rep1-GSM5171866-GSE168880.FDR50_free_macs2	81.0	69037									
Tcells-Day14_CD8_Naive_HA_rep1-GSM5171866-GSE168880.chrM			1435609	1431541	99.72						
Tcells-Day14_CD8_Naive_HA_rep1-GSM5171866-GSE168880.free_macs2	81.0	60523									
Tcells-Day14_CD8_Naive_HA_rep1-GSM5171866-GSE168880.noXYM			11242856	11170438	99.36						
Tcells-Day14_CD8_Naive_HA_rep1-GSM5171866-GSE168880_R1						25.37886896706472	55.0	76.0	76	18.181818181818183	6904367.0
Tcells-Day14_CD8_Naive_HA_rep1-GSM5171866-GSE168880_R1_val_1						18.832953968161874	54.0	54.46403955571775	60	9.090909090909092	6809635.0
Tcells-Day14_CD8_Naive_HA_rep1-GSM5171866-GSE168880_R2						24.31917018221739	55.0	76.0	76	18.181818181818183	6904367.0
Tcells-Day14_CD8_Naive_HA_rep1-GSM5171866-GSE168880_R2_val_2						18.01182941863823	54.0	54.45041489007854	60	9.090909090909092	6809635.0
Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880			12354668	12192774	98.69						
Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880.FDR50_free_macs2	81.0	65972									
Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880.chrM			1194106	1190872	99.73						
Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880.free_macs2	81.0	57096									
