Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880.noXYM	14686361	0	2070	0	0	0	975876	0	14614850	0	99.51	nan	14684291	0	7341093	0	7343198	0	14415344	0	98.17	nan	14541269	0	71511	0	0.49	nan	56395	0	26241	0	14686361
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880	19446770	0	1922	0	0	0	5655712	0	19222091	0	98.84	nan	19444848	0	9722424	0	9722424	0	19006382	0	97.75	nan	19136780	0	83389	0	0.43	nan	55894	0	26136	0	19446770
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880.chrM	6460507	0	33	0	0	0	4859585	0	6442332	0	99.72	nan	6460474	0	3230994	0	3229480	0	6408618	0	99.2	nan	6424124	0	18175	0	0.28	nan	3368	0	3241	0	6460507
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880.noXYM	11870484	0	1669	0	0	0	748980	0	11811822	0	99.51	nan	11868815	0	5933535	0	5935280	0	11651008	0	98.16	nan	11751491	0	58662	0	0.49	nan	46047	0	21530	0	11870484
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880	13609046	0	1674	0	0	0	1408387	0	13443486	0	98.78	nan	13607372	0	6803686	0	6803686	0	13276774	0	97.57	nan	13362948	0	78864	0	0.58	nan	41642	0	20403	0	13609046
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880.chrM	1621813	0	13	0	0	0	884553	0	1617125	0	99.71	nan	1621800	0	811091	0	810709	0	1608116	0	99.16	nan	1612424	0	4688	0	0.29	nan	892	0	849	0	1621813
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880.noXYM	11077081	0	1530	0	0	0	488810	0	11008796	0	99.38	nan	11075551	0	5537506	0	5538045	0	10865556	0	98.1	nan	10938981	0	68285	0	0.62	nan	37123	0	18902	0	11077081
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880	17029837	0	1897	0	0	0	2002840	0	16820144	0	98.77	nan	17027940	0	8513970	0	8513970	0	16620152	0	97.61	nan	16721364	0	96883	0	0.57	nan	49028	0	24283	0	17029837
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880.chrM	2138238	0	9	0	0	0	1263570	0	2132273	0	99.72	nan	2138229	0	1069334	0	1068895	0	2120858	0	99.19	nan	2126299	0	5965	0	0.28	nan	1053	0	1006	0	2138238
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880.noXYM	13765268	0	1748	0	0	0	689403	0	13681486	0	99.39	nan	13763520	0	6881443	0	6882077	0	13510120	0	98.16	nan	13595956	0	83782	0	0.61	nan	43756	0	22524	0	13765268
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880	16896524	0	1854	0	0	0	3323829	0	16694470	0	98.8	nan	16894670	0	8447335	0	8447335	0	16495398	0	97.64	nan	16600678	0	91938	0	0.54	nan	47554	0	24009	0	16896524
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880.chrM	3696509	0	18	0	0	0	2510687	0	3686476	0	99.73	nan	3696491	0	1848664	0	1847827	0	3667482	0	99.22	nan	3676425	0	10033	0	0.27	nan	1949	0	1882	0	3696509
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880.noXYM	12220187	0	1701	0	0	0	774111	0	12144382	0	99.38	nan	12218486	0	6108734	0	6109752	0	11980144	0	98.05	nan	12066876	0	75805	0	0.62	nan	41750	0	21424	0	12220187
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880	19467791	0	2213	0	0	0	3943135	0	19149209	0	98.36	nan	19465578	0	9732789	0	9732789	0	18904422	0	97.12	nan	19036586	0	110410	0	0.57	nan	58650	0	29512	0	19467791
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880.chrM	4176699	0	28	0	0	0	2918710	0	4164452	0	99.71	nan	4176671	0	2088845	0	2087826	0	4141812	0	99.17	nan	4152177	0	12247	0	0.29	nan	2335	0	2248	0	4176699
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880.noXYM	14079721	0	2027	0	0	0	974350	0	13988536	0	99.35	nan	14077694	0	7038180	0	7039514	0	13785064	0	97.92	nan	13895324	0	91185	0	0.65	nan	51584	0	26388	0	14079721
Tcells-Day14_CD4_Naive_HA_rep1-GSM5171858-GSE168880	16696175	0	1985	0	0	0	2129544	0	16483476	0	98.73	nan	16694190	0	8347095	0	8347095	0	16289584	0	97.58	nan	16394038	0	87453	0	0.52	nan	50910	0	25320	0	16696175
Tcells-Day14_CD4_Naive_HA_rep1-GSM5171858-GSE168880.chrM	2504201	0	21	0	0	0	1500017	0	2496996	0	99.71	nan	2504180	0	1252412	0	1251768	0	2482638	0	99.14	nan	2489770	0	7205	0	0.29	nan	1298	0	1249	0	2504201
Tcells-Day14_CD4_Naive_HA_rep1-GSM5171858-GSE168880.noXYM	13128374	0	1779	0	0	0	592616	0	13054288	0	99.44	nan	13126595	0	6562898	0	6563697	0	12891308	0	98.21	nan	12978423	0	74086	0	0.56	nan	44979	0	23118	0	13128374
Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880	16444091	0	1977	0	0	0	2066517	0	16248218	0	98.81	nan	16442114	0	8221057	0	8221057	0	16059952	0	97.68	nan	16160180	0	86061	0	0.52	nan	48550	0	24170	0	16444091
Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880.chrM	2480601	0	10	0	0	0	1469364	0	2473587	0	99.72	nan	2480591	0	1240553	0	1240038	0	2459226	0	99.14	nan	2466563	0	7014	0	0.28	nan	1189	0	1137	0	2480601
Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880.noXYM	12929664	0	1822	0	0	0	562078	0	12856699	0	99.44	nan	12927842	0	6463600	0	6464242	0	12698684	0	98.23	nan	12781912	0	72965	0	0.56	nan	42840	0	22106	0	12929664
Tcells-Day14_CD8_CentralMemory_CD19_rep1-GSM5171860-GSE168880	20409460	0	2186	0	0	0	4339117	0	20154008	0	98.75	nan	20407274	0	10203637	0	10203637	0	19894206	0	97.49	nan	20043926	0	107896	0	0.53	nan	59594	0	29318	0	20409460
Tcells-Day14_CD8_CentralMemory_CD19_rep1-GSM5171860-GSE168880.chrM	4716012	0	30	0	0	0	3399197	0	4702457	0	99.71	nan	4715982	0	2358596	0	2357386	0	4679034	0	99.22	nan	4688872	0	13555	0	0.29	nan	2624	0	2517	0	4716012
Tcells-Day14_CD8_CentralMemory_CD19_rep1-GSM5171860-GSE168880.noXYM	14432967	0	1944	0	0	0	881314	0	14346555	0	99.4	nan	14431023	0	7214759	0	7216264	0	14133244	0	97.94	nan	14258199	0	86412	0	0.6	nan	51065	0	25656	0	14432967
Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880	14995032	0	1714	0	0	0	2942585	0	14807867	0	98.75	nan	14993318	0	7496659	0	7496659	0	14615150	0	97.48	nan	14726774	0	79379	0	0.53	nan	44032	0	21764	0	14995032
Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880.chrM	3430323	0	23	0	0	0	2320138	0	3420813	0	99.72	nan	3430300	0	1715514	0	1714786	0	3404162	0	99.24	nan	3411280	0	9510	0	0.28	nan	1800	0	1728	0	3430323
Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880.noXYM	10633420	0	1527	0	0	0	584795	0	10569516	0	99.4	nan	10631893	0	5315485	0	5316408	0	10410382	0	97.92	nan	10504085	0	63904	0	0.6	nan	37905	0	19253	0	10633420
Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880	16545393	0	1885	0	0	0	2267534	0	16330150	0	98.7	nan	16543508	0	8271754	0	8271754	0	16127798	0	97.49	nan	16235830	0	92435	0	0.56	nan	49904	0	24753	0	16545393
Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880.chrM	2506690	0	13	0	0	0	1589241	0	2499953	0	99.73	nan	2506677	0	1253604	0	1253073	0	2487986	0	99.25	nan	2493203	0	6737	0	0.27	nan	1305	0	1263	0	2506690
Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880.noXYM	12938383	0	1734	0	0	0	627410	0	12859902	0	99.39	nan	12936649	0	6467945	0	6468704	0	12687016	0	98.07	nan	12779687	0	78481	0	0.61	nan	43969	0	22661	0	12938383
Tcells-Day14_CD8_CentralMemory_HA_rep2-GSM5171863-GSE168880	18680621	0	2037	0	0	0	2692068	0	18428505	0	98.65	nan	18678584	0	9339292	0	9339292	0	18211014	0	97.5	nan	18322516	0	103952	0	0.56	nan	51012	0	24917	0	18680621
Tcells-Day14_CD8_CentralMemory_HA_rep2-GSM5171863-GSE168880.chrM	2771112	0	11	0	0	0	1839609	0	2763564	0	99.73	nan	2771101	0	1385818	0	1385283	0	2751602	0	99.3	nan	2756005	0	7548	0	0.27	nan	1257	0	1201	0	2771112
Tcells-Day14_CD8_CentralMemory_HA_rep2-GSM5171863-GSE168880.noXYM	14637991	0	1873	0	0	0	784809	0	14549891	0	99.4	nan	14636118	0	7317651	0	7318467	0	14364750	0	98.15	nan	14459918	0	88100	0	0.6	nan	44802	0	22834	0	14637991
Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880	14795738	0	1730	0	0	0	2242658	0	14609918	0	98.74	nan	14794008	0	7397004	0	7397004	0	14419704	0	97.47	nan	14521392	0	86796	0	0.59	nan	44186	0	21984	0	14795738
Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880.chrM	2504148	0	19	0	0	0	1569789	0	2497411	0	99.73	nan	2504129	0	1252337	0	1251792	0	2485112	0	99.24	nan	2490655	0	6737	0	0.27	nan	1329	0	1275	0	2504148
Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880.noXYM	11361338	0	1574	0	0	0	635548	0	11287142	0	99.35	nan	11359764	0	5679533	0	5680231	0	11124762	0	97.93	nan	11211372	0	74196	0	0.65	nan	39044	0	20028	0	11361338
Tcells-Day14_CD8_Naive_CD19_rep2-GSM5171865-GSE168880	16189821	0	1845	0	0	0	2521608	0	15984514	0	98.73	nan	16187976	0	8093988	0	8093988	0	15778960	0	97.47	nan	15886048	0	96621	0	0.6	nan	49824	0	25159	0	16189821
Tcells-Day14_CD8_Naive_CD19_rep2-GSM5171865-GSE168880.chrM	2734946	0	15	0	0	0	1743060	0	2727477	0	99.73	nan	2734931	0	1367838	0	1367093	0	2713718	0	99.22	nan	2719993	0	7469	0	0.27	nan	1557	0	1491	0	2734946
Tcells-Day14_CD8_Naive_CD19_rep2-GSM5171865-GSE168880.noXYM	12441390	0	1696	0	0	0	734583	0	12358851	0	99.34	nan	12439694	0	6219362	0	6220332	0	12183786	0	97.94	nan	12274616	0	82539	0	0.66	nan	44286	0	22904	0	12441390
Tcells-Day14_CD8_Naive_HA_rep1-GSM5171866-GSE168880	13620954	0	1684	0	0	0	1339825	0	13440853	0	98.68	nan	13619270	0	6809635	0	6809635	0	13265416	0	97.4	nan	13356534	0	82635	0	0.61	nan	42472	0	21378	0	13620954
Tcells-Day14_CD8_Naive_HA_rep1-GSM5171866-GSE168880.chrM	1435609	0	10	0	0	0	755429	0	1431541	0	99.72	nan	1435599	0	718012	0	717587	0	1423936	0	99.19	nan	1427463	0	4068	0	0.28	nan	879	0	843	0	1435609
Tcells-Day14_CD8_Naive_HA_rep1-GSM5171866-GSE168880.noXYM	11242856	0	1546	0	0	0	543742	0	11170438	0	99.36	nan	11241310	0	5620285	0	5621025	0	11017786	0	98.01	nan	11096474	0	72418	0	0.64	nan	38042	0	19844	0	11242856
Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880	12354668	0	1426	0	0	0	1087723	0	12192774	0	98.69	nan	12353242	0	6176621	0	6176621	0	12031018	0	97.39	nan	12115514	0	75834	0	0.61	nan	38150	0	19109	0	12354668
Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880.chrM	1194106	0	1	0	0	0	590613	0	1190872	0	99.73	nan	1194105	0	597221	0	596884	0	1184714	0	99.21	nan	1187637	0	3234	0	0.27	nan	647	0	629	0	1194106
Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880.noXYM	10301274	0	1301	0	0	0	463289	0	10234316	0	99.35	nan	10299973	0	5149766	0	5150207	0	10092986	0	97.99	nan	10166057	0	66958	0	0.65	nan	34075	0	17867	0	10301274
Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880	12401138	0	1546	0	0	0	539554	0	12248224	0	98.77	nan	12399592	0	6199796	0	6199796	0	12104162	0	97.62	nan	12186360	0	60318	0	0.49	nan	38734	0	17029	0	12401138
Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880.chrM	536629	0	5	0	0	0	200769	0	535139	0	99.72	nan	536624	0	268357	0	268267	0	532372	0	99.21	nan	533644	0	1490	0	0.28	nan	222	0	207	0	536629
Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880.noXYM	10981589	0	1410	0	0	0	313539	0	10927712	0	99.51	nan	10980179	0	5490022	0	5490157	0	10801404	0	98.37	nan	10872425	0	53877	0	0.49	nan	34233	0	15978	0	10981589
Tcells-Day7_CD4_CentralMemory_CD19_rep2-GSM5171837-GSE168880	11015391	0	1443	0	0	0	464822	0	10870884	0	98.69	nan	11013948	0	5506974	0	5506974	0	10735396	0	97.47	nan	10812904	0	56537	0	0.51	nan	35348	0	15731	0	11015391
Tcells-Day7_CD4_CentralMemory_CD19_rep2-GSM5171837-GSE168880.chrM	453480	0	0	0	0	0	159186	0	452192	0	99.72	nan	453480	0	226784	0	226696	0	449818	0	99.19	nan	450904	0	1288	0	0.28	nan	196	0	186	0	453480
Tcells-Day7_CD4_CentralMemory_CD19_rep2-GSM5171837-GSE168880.noXYM	9769518	0	1337	0	0	0	282738	0	9718709	0	99.48	nan	9768181	0	4884066	0	4884115	0	9598918	0	98.27	nan	9666563	0	50809	0	0.52	nan	31483	0	14891	0	9769518
Tcells-Day7_CD4_CentralMemory_HA_rep1-GSM5171838-GSE168880	12281460	0	1326	0	0	0	666716	0	12125963	0	98.73	nan	12280134	0	6140067	0	6140067	0	11985152	0	97.6	nan	12066532	0	58105	0	0.47	nan	36236	0	16089	0	12281460
Tcells-Day7_CD4_CentralMemory_HA_rep1-GSM5171838-GSE168880.chrM	758274	0	4	0	0	0	333802	0	756258	0	99.73	nan	758270	0	379215	0	379055	0	752568	0	99.25	nan	754238	0	2016	0	0.27	nan	318	0	304	0	758274
Tcells-Day7_CD4_CentralMemory_HA_rep1-GSM5171838-GSE168880.noXYM	10649225	0	1202	0	0	0	302363	0	10598085	0	99.52	nan	10648023	0	5323898	0	5324125	0	10475484	0	98.38	nan	10545743	0	51140	0	0.48	nan	32133	0	15127	0	10649225
Tcells-Day7_CD4_CentralMemory_HA_rep2-GSM5171839-GSE168880	10254072	0	1184	0	0	0	515845	0	10130918	0	98.8	nan	10252888	0	5126444	0	5126444	0	10012344	0	97.65	nan	10080366	0	49368	0	0.48	nan	30412	0	13601	0	10254072
Tcells-Day7_CD4_CentralMemory_HA_rep2-GSM5171839-GSE168880.chrM	621453	0	4	0	0	0	254441	0	619687	0	99.72	nan	621449	0	310785	0	310664	0	616538	0	99.21	nan	617917	0	1766	0	0.28	nan	281	0	270	0	621453
Tcells-Day7_CD4_CentralMemory_HA_rep2-GSM5171839-GSE168880.noXYM	8910732	0	1074	0	0	0	237678	0	8867246	0	99.51	nan	8909658	0	4454722	0	4454936	0	8763808	0	98.36	nan	8822686	0	43486	0	0.49	nan	26948	0	12766	0	8910732
Tcells-Day7_CD4_Naive_CD19_rep1-GSM5171840-GSE168880	12047645	0	1505	0	0	0	341445	0	11841015	0	98.28	nan	12046140	0	6023070	0	6023070	0	11696038	0	97.09	nan	11780812	0	58698	0	0.49	nan	42622	0	18230	0	12047645
Tcells-Day7_CD4_Naive_CD19_rep1-GSM5171840-GSE168880.chrM	215840	0	1	0	0	0	47696	0	215186	0	99.7	nan	215839	0	107947	0	107892	0	213856	0	99.08	nan	214531	0	654	0	0.3	nan	97	0	90	0	215840
Tcells-Day7_CD4_Naive_CD19_rep1-GSM5171840-GSE168880.noXYM	10874901	0	1346	0	0	0	268317	0	10822002	0	99.51	nan	10873555	0	5436735	0	5436820	0	10694634	0	98.35	nan	10767757	0	52899	0	0.49	nan	37645	0	17153	0	10874901
Tcells-Day7_CD4_Naive_CD19_rep2-GSM5171841-GSE168880	12228850	0	1582	0	0	0	345791	0	12063255	0	98.65	nan	12227268	0	6113634	0	6113634	0	11914808	0	97.44	nan	12001560	0	60113	0	0.49	nan	42600	0	18195	0	12228850
Tcells-Day7_CD4_Naive_CD19_rep2-GSM5171841-GSE168880.chrM	234345	0	1	0	0	0	54219	0	233652	0	99.7	nan	234344	0	117197	0	117147	0	232258	0	99.11	nan	232958	0	693	0	0.3	nan	92	0	85	0	234345
Tcells-Day7_CD4_Naive_CD19_rep2-GSM5171841-GSE168880.noXYM	11066012	0	1422	0	0	0	265141	0	11011896	0	99.51	nan	11064590	0	5532238	0	5532352	0	10881306	0	98.34	nan	10956358	0	54116	0	0.49	nan	37642	0	17101	0	11066012
Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880	15861249	0	1893	0	0	0	831794	0	15646297	0	98.64	nan	15859356	0	7929678	0	7929678	0	15464238	0	97.51	nan	15571020	0	73384	0	0.46	nan	46680	0	20347	0	15861249
Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880.chrM	768051	0	4	0	0	0	333624	0	766001	0	99.73	nan	768047	0	384066	0	383981	0	762242	0	99.24	nan	763947	0	2050	0	0.27	nan	311	0	294	0	768051
Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880.noXYM	13799708	0	1729	0	0	0	422074	0	13735782	0	99.54	nan	13797979	0	6898914	0	6899065	0	13579272	0	98.41	nan	13670127	0	63926	0	0.46	nan	41045	0	19025	0	13799708
Tcells-Day7_CD4_Naive_HA_rep2-GSM5171843-GSE168880	12467336	0	1550	0	0	0	546375	0	12307685	0	98.72	nan	12465786	0	6232893	0	6232893	0	12161190	0	97.56	nan	12245630	0	60505	0	0.49	nan	38404	0	16943	0	12467336
Tcells-Day7_CD4_Naive_HA_rep2-GSM5171843-GSE168880.chrM	545377	0	1	0	0	0	206631	0	543877	0	99.72	nan	545376	0	272741	0	272635	0	541118	0	99.22	nan	542376	0	1500	0	0.28	nan	240	0	223	0	545377
Tcells-Day7_CD4_Naive_HA_rep2-GSM5171843-GSE168880.noXYM	10913008	0	1386	0	0	0	288602	0	10860034	0	99.51	nan	10911622	0	5455699	0	5455923	0	10733800	0	98.37	nan	10805674	0	52974	0	0.49	nan	33822	0	15882	0	10913008
Tcells-Day7_CD8_CentralMemory_CD19_rep1-GSM5171844-GSE168880	10248768	0	1322	0	0	0	289037	0	10130158	0	98.84	nan	10247446	0	5123723	0	5123723	0	10009534	0	97.68	nan	10085822	0	43014	0	0.42	nan	36790	0	15325	0	10248768
Tcells-Day7_CD8_CentralMemory_CD19_rep1-GSM5171844-GSE168880.chrM	286056	0	1	0	0	0	80085	0	285194	0	99.7	nan	286055	0	143052	0	143003	0	283696	0	99.18	nan	284331	0	862	0	0.3	nan	125	0	119	0	286056
